_id,title,class_name,k_nbrs
599ac253ba63100844f00e8b,梨锈水病如何防治？,病虫害,0 1 3 10 6 11 2 5 4 25
599ac253ba63100844f00e8c,梨树干枯病如何防治？,病虫害,1 3 2 0 10 6 25 11 5 4
599ac253ba63100844f00e8d,梨树缺铁黄叶症怎样预防？,病虫害,2 1 3 6 10 11 0 5 4 153
599ac253ba63100844f00e8e,梨树火疫病如何防治？,病虫害,3 1 2 0 6 10 11 5 4 25
599ac253ba63100844f00e8f,梨灰斑病如何防治？,病虫害,4 6 5 135 1 11 25 10 44 56
599ac253ba63100844f00e90,梨白粉病如何防治？,病虫害,5 93 6 11 4 1 135 10 3 0
599ac253ba63100844f00e91,梨煤污病如何防治？,病虫害,6 85 1 3 4 5 11 2 0 10
599ac253ba63100844f00e92,梨毛霉软腐病如何预防？,病虫害,7 9 8 135 4 83 24 10 26 3
599ac253ba63100844f00e93,梨柄基腐病如何预防？,病虫害,8 9 1 4 135 10 25 11 89 83
599ac253ba63100844f00e94,梨青霉病如何防治？,病虫害,9 8 83 89 4 135 24 7 107 5
599ac253ba63100844f00e95,梨疫腐病如何防治？,病虫害,10 1 0 3 46 6 11 2 4 5
599ac253ba63100844f00e96,梨黑斑病怎么治疗？,病虫害,11 83 1 6 5 3 4 10 0 2
599ac253ba63100844f00e97,核桃瘤蛾怎样防治？,病虫害,12 17 14 15 18 13 16 96 71 76
599ac253ba63100844f00e98,种植核桃如何防治舞毒蛾？,病虫害,13 96 12 17 18 15 14 16 78 77
599ac253ba63100844f00e99,核桃果象甲如何防治？,病虫害,14 12 17 18 15 16 13 76 71 96
599ac253ba63100844f00e9a,核桃缀叶螟如何防治？,病虫害,15 12 17 18 14 16 13 96 71 95
599ac253ba63100844f00e9b,核桃如何防治木撩尺蠖？,病虫害,16 95 12 17 15 18 14 96 13 76
599ac253ba63100844f00e9c,核桃扁叶甲如何防治？,病虫害,17 12 18 14 15 13 16 70 96 71
599ac253ba63100844f00e9d,核桃举肢蛾的防治有几种方法？,病虫害,18 12 17 15 14 13 16 96 102 71
599ac253ba63100844f00e9e,猕猴桃如何防治斑衣腊蝉？,病虫害,19 78 20 21 24 25 26 28 77 98
599ac253ba63100844f00e9f,猕猴桃如何防治小薪甲？,病虫害,20 19 24 26 21 25 23 78 71 27
599ac253ba63100844f00ea0,猕猴桃如何防治金龟甲类害虫？,病虫害,21 60 39 20 19 26 25 24 66 102
599ac253ba63100844f00ea1,猕猴桃根结线虫怎么冶？,病虫害,22 55 107 27 26 25 24 175 21 19
599ac253ba63100844f00ea2,猕猴桃膏药病如何防治？,病虫害,23 25 24 26 27 58 20 19 78 21
599ac253ba63100844f00ea3,猕猴桃干腐病怎样防治？,病虫害,24 25 26 23 27 20 19 1 90 22
599ac253ba63100844f00ea4,猕猴桃干枯病如何防治？,病虫害,25 24 26 23 1 27 4 20 135 19
599ac253ba63100844f00ea5,猕猴桃疫霉病如何防治？,病虫害,26 25 88 27 24 23 20 21 135 22
599ac253ba63100844f00ea6,猕猴桃根癌病怎样防治？,病虫害,27 26 25 24 22 23 20 21 19 135
599ac253ba63100844f00ea7,樱桃树的梨花网蝽如何防治？,病虫害,28 32 78 30 31 29 35 97 34 99
599ac253ba63100844f00ea8,樱桃叶蜂如何防治？,病虫害,29 34 30 31 32 35 33 28 75 96
599ac253ba63100844f00ea9,樱桃果蝇怎样防治？,病虫害,30 29 31 34 32 35 33 28 71 78
